timestamp,readingId,temperature,humidity,light,vibration,status,time_minutes,datetime
5110,1,26.6,78.4,1023,1023,CRITICAL,0.08516666666666667,1970-01-01 00:00:05.110
10141,2,24.8,61.0,1023,1023,ATTENTION,0.16901666666666668,1970-01-01 00:00:10.141
15171,3,22.4,68.9,1023,1023,ATTENTION,0.25285,1970-01-01 00:00:15.171
20201,4,28.2,36.2,1023,1023,ATTENTION,0.33668333333333333,1970-01-01 00:00:20.201
25231,5,21.7,49.0,1023,1023,ATTENTION,0.42051666666666665,1970-01-01 00:00:25.231
30261,6,23.5,32.3,1023,1023,ATTENTION,0.50435,1970-01-01 00:00:30.261
35291,7,24.7,49.3,1023,1023,ATTENTION,0.5881833333333333,1970-01-01 00:00:35.291
40321,8,30.4,31.0,1023,1023,ATTENTION,0.6720166666666667,1970-01-01 00:00:40.321
45351,9,30.2,75.1,1023,1023,CRITICAL,0.75585,1970-01-01 00:00:45.351
50382,10,33.8,72.6,1023,1023,CRITICAL,0.8397,1970-01-01 00:00:50.382
55413,11,28.2,62.1,1023,1023,ATTENTION,0.92355,1970-01-01 00:00:55.413
60413,12,23.3,49.7,988,214,NORMAL,1.0068833333333334,1970-01-01 00:01:00.413
65413,13,18.3,22.9,679,190,ATTENTION,1.0902166666666666,1970-01-01 00:01:05.413
70413,14,16.2,59.3,599,170,NORMAL,1.17355,1970-01-01 00:01:10.413
75413,15,12.8,54.4,906,628,ATTENTION,1.2568833333333334,1970-01-01 00:01:15.413
80413,16,10.0,85.0,904,418,CRITICAL,1.3402166666666666,1970-01-01 00:01:20.413
85413,17,9.6,57.6,1001,702,ATTENTION,1.42355,1970-01-01 00:01:25.413
90413,18,10.0,85.0,669,498,CRITICAL,1.5068833333333334,1970-01-01 00:01:30.413
95413,19,20.1,58.4,459,245,NORMAL,1.5902166666666666,1970-01-01 00:01:35.413
100413,20,45.0,85.0,202,729,CRITICAL,1.67355,1970-01-01 00:01:40.413
105413,21,25.1,65.7,562,998,NORMAL,1.7568833333333334,1970-01-01 00:01:45.413
110413,22,28.6,70.3,962,478,ATTENTION,1.8402166666666666,1970-01-01 00:01:50.413
115413,23,10.0,85.0,217,388,CRITICAL,1.92355,1970-01-01 00:01:55.413
120413,24,29.0,74.8,505,369,ATTENTION,2.006883333333333,1970-01-01 00:02:00.413
125413,25,17.3,57.5,260,483,NORMAL,2.0902166666666666,1970-01-01 00:02:05.413
130413,26,19.2,60.4,822,618,NORMAL,2.17355,1970-01-01 00:02:10.413
135413,27,21.4,34.3,436,439,NORMAL,2.256883333333333,1970-01-01 00:02:15.413
140413,28,10.0,15.0,663,591,CRITICAL,2.3402166666666666,1970-01-01 00:02:20.413
145413,29,45.0,15.0,947,779,CRITICAL,2.42355,1970-01-01 00:02:25.413
150413,30,15.8,37.9,264,973,NORMAL,2.506883333333333,1970-01-01 00:02:30.413
155413,31,10.0,15.0,901,944,CRITICAL,2.5902166666666666,1970-01-01 00:02:35.413
160413,32,22.8,45.3,833,184,NORMAL,2.67355,1970-01-01 00:02:40.413
165413,33,17.2,69.0,728,653,NORMAL,2.756883333333333,1970-01-01 00:02:45.413
170413,34,18.3,64.9,975,478,NORMAL,2.8402166666666666,1970-01-01 00:02:50.413
175413,35,10.0,15.0,592,778,CRITICAL,2.92355,1970-01-01 00:02:55.413
180413,36,30.2,52.7,408,411,NORMAL,3.006883333333333,1970-01-01 00:03:00.413
185413,37,19.4,66.9,421,932,NORMAL,3.0902166666666666,1970-01-01 00:03:05.413
190413,38,28.1,36.8,201,603,NORMAL,3.17355,1970-01-01 00:03:10.413
195413,39,23.0,75.2,957,836,ATTENTION,3.256883333333333,1970-01-01 00:03:15.413
200413,40,20.7,26.1,582,578,ATTENTION,3.3402166666666666,1970-01-01 00:03:20.413
205413,41,25.0,58.1,943,371,NORMAL,3.42355,1970-01-01 00:03:25.413
210413,42,18.6,49.5,870,830,NORMAL,3.506883333333333,1970-01-01 00:03:30.413
215413,43,21.5,52.7,240,796,NORMAL,3.5902166666666666,1970-01-01 00:03:35.413
220413,44,22.0,72.5,553,870,ATTENTION,3.67355,1970-01-01 00:03:40.413
225413,45,16.8,47.0,971,126,NORMAL,3.756883333333333,1970-01-01 00:03:45.413
230413,46,13.3,74.4,431,196,ATTENTION,3.8402166666666666,1970-01-01 00:03:50.413
235413,47,22.6,26.2,610,207,ATTENTION,3.92355,1970-01-01 00:03:55.413
240413,48,10.0,85.0,621,1016,CRITICAL,4.006883333333334,1970-01-01 00:04:00.413
245413,49,17.8,14.4,655,913,ATTENTION,4.090216666666667,1970-01-01 00:04:05.413
